2025-12-30 14:13:58.196 [main] INFO  com.lchjy.NingboApplication-Starting NingboApplication using Java 21.0.9 with PID 5476 (/Users/lichenhao/Documents/Project/ningbo/target/classes started by lichenhao in /Users/lichenhao/Documents/Project/ningbo)
2025-12-30 14:13:58.197 [main] INFO  com.lchjy.NingboApplication-No active profile set, falling back to 1 default profile: "default"
2025-12-30 14:13:59.300 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat initialized with port 8080 (http)
2025-12-30 14:13:59.312 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8080"]
2025-12-30 14:13:59.314 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2025-12-30 14:13:59.315 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/10.1.24]
2025-12-30 14:13:59.589 [main] INFO  org.apache.jasper.servlet.TldScanner-At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2025-12-30 14:13:59.597 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
2025-12-30 14:13:59.598 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext-Root WebApplicationContext: initialization completed in 1350 ms
2025-12-30 14:13:59.972 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping-Adding welcome page template: index
2025-12-30 14:14:00.257 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8080"]
2025-12-30 14:14:00.282 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port 8080 (http) with context path '/'
2025-12-30 14:14:00.290 [main] INFO  com.lchjy.NingboApplication-Started NingboApplication in 2.481 seconds (process running for 3.065)
2025-12-30 14:14:21.506 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-12-30 14:14:21.506 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Initializing Servlet 'dispatcherServlet'
2025-12-30 14:14:21.508 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Completed initialization in 2 ms
2025-12-30 14:14:22.424 [http-nio-8080-exec-2] WARN  com.lchjy.config.GlobalExceptionHandler-检测到 favicon.ico 请求缺失，已忽略堆栈信息打印。
2025-12-30 14:14:28.132 [http-nio-8080-exec-3] INFO  com.lchjy.controller.UserController-用户登录请求: userInfo=UserInfo(id=null, username=admin, password=123456, realName=null, email=null, phone=null, avatar=null, role=null, createTime=null)
2025-12-30 14:14:28.164 [http-nio-8080-exec-3] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Starting...
2025-12-30 14:14:28.540 [http-nio-8080-exec-3] INFO  com.zaxxer.hikari.pool.HikariPool-HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@1043e41
2025-12-30 14:14:28.542 [http-nio-8080-exec-3] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Start completed.
2025-12-30 14:14:28.741 [http-nio-8080-exec-6] INFO  com.lchjy.controller.FoodController-查询美食列表: keyword=, page=1, limit=10
2025-12-30 14:14:28.752 [http-nio-8080-exec-7] WARN  com.lchjy.config.GlobalExceptionHandler-检测到 favicon.ico 请求缺失，已忽略堆栈信息打印。
2025-12-30 14:14:31.085 [http-nio-8080-exec-10] INFO  com.lchjy.controller.FoodController-查询美食列表: keyword=, page=1, limit=8
2025-12-30 14:14:31.163 [http-nio-8080-exec-2] WARN  com.lchjy.config.GlobalExceptionHandler-检测到 favicon.ico 请求缺失，已忽略堆栈信息打印。
2025-12-30 14:14:42.381 [http-nio-8080-exec-1] INFO  com.lchjy.controller.FoodController-查询美食列表: keyword=, page=2, limit=8
2025-12-30 14:14:44.129 [http-nio-8080-exec-3] INFO  com.lchjy.controller.SceneryController-查询景点列表: keyword=, page=1, limit=8
2025-12-30 14:14:47.110 [http-nio-8080-exec-1] INFO  com.lchjy.controller.FoodController-查询美食列表: keyword=, page=1, limit=8
2025-12-30 14:14:48.523 [http-nio-8080-exec-3] INFO  com.lchjy.controller.FoodController-查询美食列表: keyword=, page=2, limit=8
2025-12-30 14:18:18.875 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Shutdown initiated...
2025-12-30 14:18:18.887 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Shutdown completed.
2025-12-30 14:23:47.694 [main] INFO  com.lchjy.NingboApplication-Starting NingboApplication using Java 21.0.9 with PID 6167 (/Users/lichenhao/Documents/Project/ningbo/target/classes started by lichenhao in /Users/lichenhao/Documents/Project/ningbo)
2025-12-30 14:23:47.696 [main] INFO  com.lchjy.NingboApplication-No active profile set, falling back to 1 default profile: "default"
2025-12-30 14:23:48.691 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat initialized with port 8080 (http)
2025-12-30 14:23:48.702 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8080"]
2025-12-30 14:23:48.705 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2025-12-30 14:23:48.706 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/10.1.24]
2025-12-30 14:23:48.924 [main] INFO  org.apache.jasper.servlet.TldScanner-At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2025-12-30 14:23:48.930 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
